nf_item,Peanut Butter,Pumpkin,Applesauce,Banana
Serving Size (g),1,1,1,1
Calories Per Serving (kCal),3.7590,2.3246,2.3503,2.5019
Total Fat (g),0.1598,0.0111,0.0111,0.0111
Saturated Fat (g),0.0315,0.0000,0.0000,0.0000
Polyunsaturated Fat (g),0.0292,0.0000,0.0000,0.0000
Monounsaturated Fat (g),0.0782,0.0000,0.0000,0.0000
Trans Fat (g),0.0000,0.0000,0.0000,0.0000
Cholesterol (mg),0.5408,0.0000,0.0000,0.0000
Sodium (mg),1.2329,0.0140,0.0276,0.0028
Total Carbohydrates (g),0.4797,0.4926,0.5005,0.5390
Dietary Fiber (g),0.0762,0.0748,0.0719,0.0746
Sugar (g),0.0285,0.0112,0.0303,0.0386
Added Sugar (g),0.0183,0.0000,0.0000,0.0000
Protein (g),0.1574,0.0913,0.0885,0.0913
Vitamin A (mcg),0.0281,0.0000,0.0000,0.0000
Vitamin B (mcg),0.0000,0.0000,0.0000,0.0000
Vitamin C (mcg),0.0000,0.0000,0.0000,0.0000
Vitamin D (mcg),0.0000,0.0000,0.0000,0.0000
Vitamin E (mcg),0.0000,0.0000,0.0000,0.0000
Vitamin K (mcg),0.0000,0.0000,0.0000,0.0000
Calcium (mg),0.0000,0.0869,0.0138,0.0165
Potassium (mg),1.8486,0.6921,0.3032,0.0303
Iron (mg),0.0069,0.0056,0.0000,0.0028
,,,,
endOfSheet,,,,
REMEMBER TO SYNC TO GITHUB THROUGH VISUAL STUDIO: save this portion to a .csv file in the StaticFiles/CSV folder in the website files,,,,
